Job ID,Agency,Salary,Posting Date,Posting Updated
132786,DEPT OF ENVIRONMENT PROTECTION,100508,2013-10-08,2013-11-08
172874,DEPT OF HEALTH/MENTAL HYGIENE,62493,2014-10-28,2014-10-28
174736,DEPT OF ENVIRONMENT PROTECTION,81146,2014-11-13,2014-11-13
174736,DEPT OF ENVIRONMENT PROTECTION,81146,2014-11-13,2014-11-13
175362,DEPT OF HEALTH/MENTAL HYGIENE,42034,2014-11-18,2014-11-18
132786,DEPT OF ENVIRONMENT PROTECTION,100508,2013-10-08,2013-11-08
151770,DEPT OF HEALTH/MENTAL HYGIENE,124670,2014-06-06,2014-09-03
133921,NYC HOUSING AUTHORITY,63700,2014-01-09,2014-01-08
133921,NYC HOUSING AUTHORITY,63700,2014-01-09,2014-01-08
134511,DEPT OF ENVIRONMENT PROTECTION,69933,2013-11-15,2013-11-15
134515,DEPT OF ENVIRONMENT PROTECTION,69933,2013-11-15,2013-11-15
135897,LAW DEPARTMENT,45598,2013-11-26,2014-01-24
135897,LAW DEPARTMENT,45598,2013-11-26,2014-01-24
176605,DEPT OF HEALTH/MENTAL HYGIENE,60065,2014-11-25,2014-11-25
176605,DEPT OF HEALTH/MENTAL HYGIENE,60065,2014-11-25,2014-11-25
177048,DEPT OF INFO TECH & TELECOMM,88593,2014-12-02,2014-12-02
137433,DEPT OF HEALTH/MENTAL HYGIENE,67826,2013-12-09,2013-12-09
138531,DEPT OF ENVIRONMENT PROTECTION,62853,2013-12-20,2014-07-25
140566,DEPT OF ENVIRONMENT PROTECTION,69933,2014-01-28,2014-01-28
140566,DEPT OF ENVIRONMENT PROTECTION,69933,2014-01-28,2014-01-28
177866,DEPARTMENT OF FINANCE,74233,2014-12-17,2014-12-17
156256,DEPT OF ENVIRONMENT PROTECTION,46029,2014-07-21,2014-07-21
177962,NYC HOUSING AUTHORITY,100508,2014-12-12,2014-12-11
177962,NYC HOUSING AUTHORITY,100508,2014-12-12,2014-12-11
178472,DEPARTMENT OF FINANCE,28210,2014-12-17,2014-12-17
142473,DEPT OF ENVIRONMENT PROTECTION,100508,2014-01-28,2014-01-28
142473,DEPT OF ENVIRONMENT PROTECTION,100508,2014-01-28,2014-01-28
148717,NYC HOUSING AUTHORITY,57358,2014-09-30,2015-01-12
182266,DEPARTMENT OF TRANSPORTATION,71069,2015-01-26,2015-09-28
182266,DEPARTMENT OF TRANSPORTATION,71069,2015-01-26,2015-09-28
182479,NYC HOUSING AUTHORITY,36702,2015-09-28,2015-12-08
243231,HRA/DEPT OF SOCIAL SERVICES,69252,2016-06-17,2016-07-01
148717,NYC HOUSING AUTHORITY,57358,2014-09-30,2015-01-12
149962,DEPT OF HEALTH/MENTAL HYGIENE,86367,2014-05-01,2014-05-01
149962,DEPT OF HEALTH/MENTAL HYGIENE,86367,2014-05-01,2014-05-01
150410,NYC HOUSING AUTHORITY,69085,2014-06-26,2014-12-16
182479,NYC HOUSING AUTHORITY,36702,2015-09-28,2015-12-08
182890,DEPT OF HEALTH/MENTAL HYGIENE,84000,2015-02-02,2015-02-02
182890,DEPT OF HEALTH/MENTAL HYGIENE,84000,2015-02-02,2015-02-02
150410,NYC HOUSING AUTHORITY,69085,2014-06-26,2014-08-12
181479,DEPT OF HEALTH/MENTAL HYGIENE,49868,2015-01-16,2015-01-16
151131,NYC HOUSING AUTHORITY,100000,2014-06-25,2014-07-07
151405,DEPT OF ENVIRONMENT PROTECTION,47923,2014-05-28,2014-05-29
151405,DEPT OF ENVIRONMENT PROTECTION,47923,2014-05-28,2014-05-29
178472,DEPARTMENT OF FINANCE,28210,2014-12-17,2014-12-17
216626,DEPT OF HEALTH/MENTAL HYGIENE,133770,2015-10-02,2015-10-14
180149,DEPT OF ENVIRONMENT PROTECTION,93589,2015-01-12,2015-01-12
180149,DEPT OF ENVIRONMENT PROTECTION,93589,2015-01-12,2015-01-12
181317,DEPT OF ENVIRONMENT PROTECTION,46684,2015-01-21,2015-01-21
151650,NYC HOUSING AUTHORITY,61387,2014-08-22,2014-09-09
151650,NYC HOUSING AUTHORITY,61387,2014-08-22,2014-08-21
151937,NYC HOUSING AUTHORITY,77596,2014-08-16,2014-10-15
151937,NYC HOUSING AUTHORITY,77596,2014-08-16,2014-09-30
152008,NYC HOUSING AUTHORITY,77596,2016-01-29,2016-01-29
181317,DEPT OF ENVIRONMENT PROTECTION,46684,2015-01-21,2015-01-21
181479,DEPT OF HEALTH/MENTAL HYGIENE,49868,2015-01-16,2015-01-16
181944,DEPT OF ENVIRONMENT PROTECTION,103979,2015-01-22,2015-01-22
181944,DEPT OF ENVIRONMENT PROTECTION,103979,2015-01-22,2015-01-22
152008,NYC HOUSING AUTHORITY,77596,2016-01-29,2016-01-29
197355,DEPT OF ENVIRONMENT PROTECTION,198518,2015-06-23,2015-06-23
152538,DEPT OF ENVIRONMENT PROTECTION,146777,2014-06-20,2014-06-20
152538,DEPT OF ENVIRONMENT PROTECTION,146777,2014-06-20,2014-06-20
152669,DEPT OF ENVIRONMENT PROTECTION,90510,2014-06-23,2014-06-26
152669,DEPT OF ENVIRONMENT PROTECTION,90510,2014-06-23,2014-06-26
168165,DEPT OF HEALTH/MENTAL HYGIENE,72793,2014-09-18,2014-09-18
168874,DEPT OF ENVIRONMENT PROTECTION,53772,2014-09-22,2014-10-10
168874,DEPT OF ENVIRONMENT PROTECTION,53772,2014-09-22,2014-10-10
169430,DEPT OF HEALTH/MENTAL HYGIENE,62493,2014-09-24,2014-09-24
152673,DEPT OF ENVIRONMENT PROTECTION,100508,2014-06-23,2014-07-15
152673,DEPT OF ENVIRONMENT PROTECTION,100508,2014-06-23,2014-07-15
152679,DEPT OF ENVIRONMENT PROTECTION,109850,2014-06-23,2014-06-25
152738,LAW DEPARTMENT,40195,2014-06-26,2014-06-26
169430,DEPT OF HEALTH/MENTAL HYGIENE,62493,2014-09-24,2014-09-24
169456,DEPT OF HEALTH/MENTAL HYGIENE,92845,2014-09-24,2014-09-24
152778,DEPARTMENT OF TRANSPORTATION,70590,2014-06-25,2014-06-25
169456,DEPT OF HEALTH/MENTAL HYGIENE,92845,2014-09-24,2014-09-24
170412,DEPT OF ENVIRONMENT PROTECTION,50116,2014-10-02,2014-10-08
170412,DEPT OF ENVIRONMENT PROTECTION,50116,2014-10-02,2014-10-08
152778,DEPARTMENT OF TRANSPORTATION,70590,2014-06-25,2014-06-25
156256,DEPT OF ENVIRONMENT PROTECTION,46029,2014-07-21,2014-07-21
155260,DEPT OF ENVIRONMENT PROTECTION,67394,2014-07-18,2014-08-01
170989,OFFICE OF COLLECTIVE BARGAININ,17290,2014-10-09,2014-10-16
170989,OFFICE OF COLLECTIVE BARGAININ,17290,2014-10-09,2014-10-16
171040,DEPT OF HEALTH/MENTAL HYGIENE,42034,2014-10-08,2014-10-08
171287,DEPT OF ENVIRONMENT PROTECTION,53772,2014-10-10,2014-10-15
157511,DEPT OF HEALTH/MENTAL HYGIENE,70000,2014-07-28,2014-07-28
157511,DEPT OF HEALTH/MENTAL HYGIENE,70000,2014-07-28,2014-07-28
159215,TAXI & LIMOUSINE COMMISSION,43055,2014-08-04,2014-10-15
159215,TAXI & LIMOUSINE COMMISSION,43055,2014-08-04,2014-10-15
86699,DEPT OF CITYWIDE ADMIN SVCS,49342,2011-05-10,2011-05-10
86699,DEPT OF CITYWIDE ADMIN SVCS,49342,2011-05-10,2011-05-10
87990,DEPARTMENT OF BUSINESS SERV.,53945,2011-06-24,2011-06-24
93086,DEPT OF INFO TECH & TELECOMM,75496,2011-09-08,2011-09-08
192756,DEPARTMENT OF TRANSPORTATION,98122,2015-05-11,2015-07-27
192756,DEPARTMENT OF TRANSPORTATION,98122,2015-05-11,2015-07-27
192759,DEPARTMENT OF TRANSPORTATION,93377,2015-05-11,2015-09-09
192759,DEPARTMENT OF TRANSPORTATION,93377,2015-05-11,2015-09-09
183598,DEPT OF HEALTH/MENTAL HYGIENE,39806,2015-02-10,2015-12-03
183708,DEPT OF HEALTH/MENTAL HYGIENE,47490,2015-02-11,2015-02-11
183708,DEPT OF HEALTH/MENTAL HYGIENE,47490,2015-02-11,2015-02-11
183879,DEPT OF HEALTH/MENTAL HYGIENE,28884,2015-02-11,2015-02-11
195805,ADMIN FOR CHILDREN'S SVCS,74093,2015-05-29,2015-06-16
195805,ADMIN FOR CHILDREN'S SVCS,74093,2015-05-29,2015-06-16
195885,DEPT OF HEALTH/MENTAL HYGIENE,57533,2015-06-03,2015-06-03
184328,DEPT OF INFO TECH & TELECOMM,74746,2015-02-19,2015-02-19
184436,DEPARTMENT OF FINANCE,120000,2016-01-21,2016-01-21
196559,DEPARTMENT OF FINANCE,77680,2016-01-11,2016-01-11
196559,DEPARTMENT OF FINANCE,77680,2016-01-11,2016-01-11
197103,DEPT OF HEALTH/MENTAL HYGIENE,43209,2015-06-18,2015-06-18
184436,DEPARTMENT OF FINANCE,120000,2016-01-21,2016-01-21
184882,NYC HOUSING AUTHORITY,97500,2015-03-17,2015-03-30
184882,NYC HOUSING AUTHORITY,97500,2015-03-17,2015-03-30
185056,LAW DEPARTMENT,45695,2015-03-16,2015-05-20
197316,DEPT OF INFO TECH & TELECOMM,46352,2015-07-22,2015-07-22
197343,DEPT OF HEALTH/MENTAL HYGIENE,64610,2015-06-22,2015-08-21
197343,DEPT OF HEALTH/MENTAL HYGIENE,64610,2015-06-22,2015-08-21
197355,DEPT OF ENVIRONMENT PROTECTION,198518,2015-06-23,2015-06-23
185606,DEPARTMENT OF TRANSPORTATION,64201,2015-03-03,2015-04-22
185606,DEPARTMENT OF TRANSPORTATION,64201,2015-03-03,2015-04-22
185642,DEPARTMENT OF TRANSPORTATION,89180,2015-06-02,2015-07-29
185642,DEPARTMENT OF TRANSPORTATION,89180,2015-06-02,2015-07-29
197535,DEPT OF HEALTH/MENTAL HYGIENE,83190,2015-06-26,2015-06-26
197535,DEPT OF HEALTH/MENTAL HYGIENE,83190,2015-06-26,2015-06-26
197767,TAXI & LIMOUSINE COMMISSION,70260,2015-06-30,2015-06-30
197767,TAXI & LIMOUSINE COMMISSION,70260,2015-06-30,2015-06-30
216626,DEPT OF HEALTH/MENTAL HYGIENE,133770,2015-10-02,2015-10-14
197941,DEPT OF HEALTH/MENTAL HYGIENE,62790,2015-07-01,2015-08-28
186016,DEPT OF HEALTH/MENTAL HYGIENE,84000,2015-03-05,2015-03-05
186016,DEPT OF HEALTH/MENTAL HYGIENE,84000,2015-03-05,2015-03-05
186182,DEPT OF HEALTH/MENTAL HYGIENE,58136,2015-03-06,2015-03-06
186182,DEPT OF HEALTH/MENTAL HYGIENE,58136,2015-03-06,2015-03-06
186321,DEPARTMENT OF TRANSPORTATION,59491,2015-03-10,2015-09-16
197941,DEPT OF HEALTH/MENTAL HYGIENE,62790,2015-07-01,2015-08-28
198225,DEPT OF HEALTH/MENTAL HYGIENE,42034,2015-07-02,2015-07-14
198225,DEPT OF HEALTH/MENTAL HYGIENE,42034,2015-07-02,2015-07-14
198928,DEPARTMENT OF FINANCE,69969,2015-07-28,2015-07-28
186321,DEPARTMENT OF TRANSPORTATION,59491,2015-03-10,2015-09-16
186605,DEPT OF HEALTH/MENTAL HYGIENE,86177,2015-03-11,2015-12-03
186605,DEPT OF HEALTH/MENTAL HYGIENE,86177,2015-03-11,2015-12-03
186842,DEPT OF HEALTH/MENTAL HYGIENE,102500,2015-03-12,2015-03-12
201133,DEPARTMENT OF FINANCE,93744,2016-01-21,2016-01-21
197103,DEPT OF HEALTH/MENTAL HYGIENE,43209,2015-06-18,2015-06-18
197159,DEPT OF HEALTH/MENTAL HYGIENE,67754,2015-06-19,2015-12-03
197159,DEPT OF HEALTH/MENTAL HYGIENE,67754,2015-06-19,2015-12-03
186842,DEPT OF HEALTH/MENTAL HYGIENE,102500,2015-03-12,2015-03-12
187049,NYC HOUSING AUTHORITY,65459,2015-04-15,2015-12-08
187049,NYC HOUSING AUTHORITY,65459,2015-04-15,2015-12-08
187199,DEPT OF ENVIRONMENT PROTECTION,83655,2015-03-25,2015-03-25
195885,DEPT OF HEALTH/MENTAL HYGIENE,57533,2015-06-03,2015-06-03
195897,DEPT OF HEALTH/MENTAL HYGIENE,59603,2015-06-02,2015-06-02
187199,DEPT OF ENVIRONMENT PROTECTION,83655,2015-03-25,2015-03-25
187344,DEPT OF HEALTH/MENTAL HYGIENE,63125,2015-03-18,2015-03-18
187344,DEPT OF HEALTH/MENTAL HYGIENE,63125,2015-03-18,2015-03-18
187665,DEPT OF PARKS & RECREATION,64000,2015-04-28,2015-04-28
195897,DEPT OF HEALTH/MENTAL HYGIENE,59603,2015-06-02,2015-06-02
187665,DEPT OF PARKS & RECREATION,64000,2015-04-28,2015-04-28
195938,NYC HOUSING AUTHORITY,84856,2016-04-19,2016-04-19
195938,NYC HOUSING AUTHORITY,84856,2016-04-19,2016-04-19
196345,DEPT OF ENVIRONMENT PROTECTION,65879,2015-06-09,2015-06-09
187665,DEPT OF PARKS & RECREATION,64000,2015-04-28,2015-04-28
187714,ADMIN FOR CHILDREN'S SVCS,85212,2015-03-30,2015-04-08
187714,ADMIN FOR CHILDREN'S SVCS,85212,2015-03-30,2015-04-08
189019,DEPT OF ENVIRONMENT PROTECTION,67854,2015-03-31,2015-04-02
196345,DEPT OF ENVIRONMENT PROTECTION,65879,2015-06-09,2015-06-09
196533,DEPT OF HEALTH/MENTAL HYGIENE,75065,2015-06-09,2015-06-09
196533,DEPT OF HEALTH/MENTAL HYGIENE,75065,2015-06-09,2015-06-09
189019,DEPT OF ENVIRONMENT PROTECTION,67854,2015-03-31,2015-04-02
189481,DEPT OF HEALTH/MENTAL HYGIENE,21840,2015-04-02,2015-04-02
243234,HRA/DEPT OF SOCIAL SERVICES,69252,2016-06-17,2016-07-01
189481,DEPT OF HEALTH/MENTAL HYGIENE,21840,2015-04-02,2015-04-02
192766,DEPT OF ENVIRONMENT PROTECTION,73133,2015-05-14,2015-05-15
192766,DEPT OF ENVIRONMENT PROTECTION,73133,2015-05-14,2015-05-15
192961,DEPT OF HEALTH/MENTAL HYGIENE,45337,2015-05-08,2015-05-08
193753,DEPT OF HEALTH/MENTAL HYGIENE,73379,2015-05-19,2015-09-18
192961,DEPT OF HEALTH/MENTAL HYGIENE,45337,2015-05-08,2015-05-08
190074,DEPT OF HEALTH/MENTAL HYGIENE,44756,2015-04-10,2015-04-10
190074,DEPT OF HEALTH/MENTAL HYGIENE,44756,2015-04-10,2015-04-10
190197,DEPT OF ENVIRONMENT PROTECTION,67552,2015-04-14,2015-04-14
193109,DEPT OF INFO TECH & TELECOMM,62687,2015-05-11,2015-05-11
193753,DEPT OF HEALTH/MENTAL HYGIENE,73379,2015-05-19,2015-09-18
193881,DEPT OF HEALTH/MENTAL HYGIENE,29437,2015-05-20,2015-06-09
190197,DEPT OF ENVIRONMENT PROTECTION,67552,2015-04-14,2015-04-14
190769,ADMIN FOR CHILDREN'S SVCS,115000,2015-12-01,2015-12-01
229124,DEPT OF HEALTH/MENTAL HYGIENE,58971,2016-01-21,2016-02-03
190769,ADMIN FOR CHILDREN'S SVCS,115000,2015-12-01,2015-12-01
193881,DEPT OF HEALTH/MENTAL HYGIENE,29437,2015-05-20,2015-06-09
193893,DEPT OF ENVIRONMENT PROTECTION,75065,2015-05-21,2015-05-21
193893,DEPT OF ENVIRONMENT PROTECTION,75065,2015-05-21,2015-05-21
195272,DEPT OF HEALTH/MENTAL HYGIENE,124670,2015-05-22,2016-06-03
195272,DEPT OF HEALTH/MENTAL HYGIENE,124670,2015-05-22,2016-06-03
191317,DEPT OF ENVIRONMENT PROTECTION,73133,2015-04-29,2015-04-29
191317,DEPT OF ENVIRONMENT PROTECTION,73133,2015-04-29,2015-04-29
191546,DEPT OF ENVIRONMENT PROTECTION,53772,2015-05-01,2015-09-11
183500,LAW DEPARTMENT,42034,2015-02-20,2015-02-20
191546,DEPT OF ENVIRONMENT PROTECTION,53772,2015-05-01,2015-09-11
195303,DEPT OF HEALTH/MENTAL HYGIENE,75065,2015-05-27,2015-05-27
195303,DEPT OF HEALTH/MENTAL HYGIENE,75065,2015-05-27,2015-05-27
195614,NYC HOUSING AUTHORITY,79518,2016-02-04,2016-02-04
206286,DEPARTMENT OF TRANSPORTATION,103979,2015-08-14,2015-09-09
191646,DEPT OF PARKS & RECREATION,51230,2015-04-24,2016-04-11
191646,DEPT OF PARKS & RECREATION,51230,2015-04-24,2016-04-11
191646,DEPT OF PARKS & RECREATION,51230,2015-04-24,2016-04-11
192062,DEPT OF ENVIRONMENT PROTECTION,43493,2015-04-28,2015-05-06
195614,NYC HOUSING AUTHORITY,79518,2016-02-04,2016-02-04
195796,DEPARTMENT OF TRANSPORTATION,50564,2015-06-10,2015-06-10
195796,DEPARTMENT OF TRANSPORTATION,50564,2015-06-10,2015-06-10
192062,DEPT OF ENVIRONMENT PROTECTION,43493,2015-04-28,2015-05-06
192157,DEPT OF ENVIRONMENT PROTECTION,34580,2015-04-29,2015-04-30
222086,DEPT OF HEALTH/MENTAL HYGIENE,76942,2015-11-09,2015-11-09
192157,DEPT OF ENVIRONMENT PROTECTION,34580,2015-04-29,2015-04-30
192236,DEPT OF HEALTH/MENTAL HYGIENE,52772,2015-05-05,2015-05-05
192236,DEPT OF HEALTH/MENTAL HYGIENE,52772,2015-05-05,2015-05-05
183112,DEPT OF INFO TECH & TELECOMM,53772,2015-02-12,2015-02-12
243234,HRA/DEPT OF SOCIAL SERVICES,69252,2016-06-17,2016-07-01
183598,DEPT OF HEALTH/MENTAL HYGIENE,39806,2015-02-10,2015-12-03
192329,DEPT OF HEALTH/MENTAL HYGIENE,52222,2015-04-30,2015-11-10
192329,DEPT OF HEALTH/MENTAL HYGIENE,52222,2015-04-30,2015-11-10
192723,DEPT OF INFO TECH & TELECOMM,50333,2015-05-18,2015-05-18
200997,DEPT OF ENVIRONMENT PROTECTION,116473,2015-08-11,2015-08-11
221567,DEPT OF HEALTH/MENTAL HYGIENE,55179,2015-11-04,2015-11-30
221697,DEPT OF HEALTH/MENTAL HYGIENE,88331,2015-11-05,2015-11-05
221697,DEPT OF HEALTH/MENTAL HYGIENE,88331,2015-11-05,2015-11-05
221754,DEPT OF HEALTH/MENTAL HYGIENE,55905,2015-11-05,2015-11-05
206286,DEPARTMENT OF TRANSPORTATION,103979,2015-08-14,2015-09-09
206424,DEPT OF ENVIRONMENT PROTECTION,34941,2015-08-21,2015-08-21
221754,DEPT OF HEALTH/MENTAL HYGIENE,55905,2015-11-05,2015-11-05
221961,DEPARTMENT OF FINANCE,44946,2015-11-20,2015-11-20
222086,DEPT OF HEALTH/MENTAL HYGIENE,76942,2015-11-09,2015-11-09
222118,DEPT OF HEALTH/MENTAL HYGIENE,55179,2015-11-09,2015-12-03
206424,DEPT OF ENVIRONMENT PROTECTION,34941,2015-08-21,2015-08-21
208291,DEPT OF HEALTH/MENTAL HYGIENE,67854,2015-08-20,2015-12-03
208291,DEPT OF HEALTH/MENTAL HYGIENE,67854,2015-08-20,2015-12-03
209609,DEPT OF HEALTH/MENTAL HYGIENE,36059,2015-08-25,2015-08-31
222118,DEPT OF HEALTH/MENTAL HYGIENE,55179,2015-11-09,2015-12-03
209609,DEPT OF HEALTH/MENTAL HYGIENE,36059,2015-08-25,2015-08-31
209710,DEPT OF HEALTH/MENTAL HYGIENE,62978,2015-08-26,2015-08-26
209710,DEPT OF HEALTH/MENTAL HYGIENE,62978,2015-08-26,2015-08-26
215739,DEPT OF HEALTH/MENTAL HYGIENE,82944,2015-09-23,2015-09-23
209764,DEPT OF HEALTH/MENTAL HYGIENE,42034,2015-08-26,2015-12-23
209764,DEPT OF HEALTH/MENTAL HYGIENE,42034,2015-08-26,2015-12-23
222132,DEPT OF HEALTH/MENTAL HYGIENE,21840,2015-11-09,2015-11-09
222132,DEPT OF HEALTH/MENTAL HYGIENE,21840,2015-11-09,2015-11-09
222312,DEPT OF ENVIRONMENT PROTECTION,107734,2015-11-12,2015-11-12
222312,DEPT OF ENVIRONMENT PROTECTION,107734,2015-11-12,2015-11-12
222480,DEPT OF HEALTH/MENTAL HYGIENE,55179,2015-11-12,2015-11-12
210312,DEPT OF INFO TECH & TELECOMM,67500,2015-09-02,2015-09-02
215868,DEPT OF HEALTH/MENTAL HYGIENE,141050,2015-09-25,2015-09-25
211090,ADMIN FOR CHILDREN'S SVCS,69252,2015-09-03,2015-09-08
211090,ADMIN FOR CHILDREN'S SVCS,69252,2015-09-03,2015-09-08
211991,DEPT OF HEALTH/MENTAL HYGIENE,62790,2015-09-04,2015-09-04
198928,DEPARTMENT OF FINANCE,69969,2015-07-28,2015-07-28
199170,DEPT OF HEALTH/MENTAL HYGIENE,47137,2015-07-10,2015-07-10
199247,DEPT OF HEALTH/MENTAL HYGIENE,57393,2015-07-13,2015-07-13
211991,DEPT OF HEALTH/MENTAL HYGIENE,62790,2015-09-04,2015-09-04
212088,HOUSING PRESERVATION & DVLPMNT,73119,2015-09-03,2015-09-03
212088,HOUSING PRESERVATION & DVLPMNT,73119,2015-09-03,2015-09-03
215868,DEPT OF HEALTH/MENTAL HYGIENE,141050,2015-09-25,2015-09-25
199247,DEPT OF HEALTH/MENTAL HYGIENE,57393,2015-07-13,2015-07-13
199342,DEPARTMENT OF FINANCE,88622,2015-07-14,2015-07-14
199342,DEPARTMENT OF FINANCE,88622,2015-07-14,2015-07-14
199391,DEPT OF HEALTH/MENTAL HYGIENE,124670,2015-07-15,2015-07-15
264367,ADMIN TRIALS AND HEARINGS,45500,2016-09-27,2016-09-27
199391,DEPT OF HEALTH/MENTAL HYGIENE,124670,2015-07-15,2015-07-15
213396,DEPT OF HEALTH/MENTAL HYGIENE,49204,2015-09-11,2015-09-11
213396,DEPT OF HEALTH/MENTAL HYGIENE,49204,2015-09-11,2015-09-11
214206,DEPARTMENT OF BUILDINGS,51148,2015-09-15,2015-09-15
215871,DEPT OF HEALTH/MENTAL HYGIENE,54397,2015-09-24,2015-09-24
199613,DEPT OF HEALTH/MENTAL HYGIENE,54536,2015-07-13,2015-07-13
199613,DEPT OF HEALTH/MENTAL HYGIENE,54536,2015-07-13,2015-07-13
199744,NYC HOUSING AUTHORITY,97500,2016-01-29,2016-01-29
199744,NYC HOUSING AUTHORITY,97500,2016-01-29,2016-01-29
216503,DEPT OF HEALTH/MENTAL HYGIENE,43085,2015-09-29,2015-09-29
199768,DEPT OF INFO TECH & TELECOMM,45024,2015-07-14,2015-07-14
215639,LAW DEPARTMENT,105749,2015-09-23,2016-04-01
215639,LAW DEPARTMENT,105749,2015-09-23,2016-04-01
215739,DEPT OF HEALTH/MENTAL HYGIENE,82944,2015-09-23,2015-09-23
200054,DEPT OF HEALTH/MENTAL HYGIENE,49357,2015-07-14,2015-07-14
200054,DEPT OF HEALTH/MENTAL HYGIENE,49357,2015-07-14,2015-07-14
200176,DEPT OF HEALTH/MENTAL HYGIENE,21840,2015-07-15,2015-07-15
215871,DEPT OF HEALTH/MENTAL HYGIENE,54397,2015-09-24,2015-09-24
216503,DEPT OF HEALTH/MENTAL HYGIENE,43085,2015-09-29,2015-09-29
200176,DEPT OF HEALTH/MENTAL HYGIENE,21840,2015-07-15,2015-07-15
200266,CIVILIAN COMPLAINT REVIEW BD,130000,2015-07-15,2016-12-14
200266,CIVILIAN COMPLAINT REVIEW BD,130000,2015-07-15,2016-12-14
200757,DEPT OF HEALTH/MENTAL HYGIENE,60879,2015-07-22,2015-07-22
200757,DEPT OF HEALTH/MENTAL HYGIENE,60879,2015-07-22,2015-07-22
218977,DEPARTMENT OF TRANSPORTATION,99521,2015-10-16,2015-11-20
218977,DEPARTMENT OF TRANSPORTATION,99521,2015-10-16,2015-11-20
219094,DEPT OF HEALTH/MENTAL HYGIENE,62790,2015-10-19,2016-02-09
200997,DEPT OF ENVIRONMENT PROTECTION,116473,2015-08-11,2015-08-11
201019,DEPT OF HEALTH/MENTAL HYGIENE,47490,2015-07-20,2015-07-20
219094,DEPT OF HEALTH/MENTAL HYGIENE,62790,2015-10-19,2016-02-09
219112,NYC HOUSING AUTHORITY,53244,2016-01-25,2016-01-25
219112,NYC HOUSING AUTHORITY,53244,2016-01-25,2016-01-25
265179,DEPARTMENT OF TRANSPORTATION,109776,2016-09-30,2016-09-30
219144,NYC HOUSING AUTHORITY,59360,2015-12-07,2015-12-22
219144,NYC HOUSING AUTHORITY,59360,2015-12-07,2015-12-22
201019,DEPT OF HEALTH/MENTAL HYGIENE,47490,2015-07-20,2015-07-20
201021,DEPT OF ENVIRONMENT PROTECTION,116473,2015-07-24,2015-07-24
201021,DEPT OF ENVIRONMENT PROTECTION,116473,2015-07-24,2015-07-24
219180,DEPARTMENT OF FINANCE,21840,2015-10-19,2015-10-21
